DATE,HIGH,LOW,TAVG,RIDES
9/18/2017,64,49,1489.257,1178
9/19/2017,58,53,1326.188,2397
9/20/2017,77,58,1472.871,2311
9/21/2017,73,49,1114.277,2470
9/22/2017,80,52,2588.024,2208
9/23/2017,91,71,4015.705,2565
9/24/2017,86,68,3924.989,2005
9/25/2017,87,58,1431.44,1522
9/26/2017,60,55,764.6281,1762
9/27/2017,62,46,1777.644,2064
9/28/2017,64,46,827.6307,2086
9/29/2017,62,46,1977.743,2465
9/30/2017,62,44,2220.742,2801
10/1/2017,67,45,3415.256,961
10/2/2017,61,52,1384.78,1183
10/3/2017,69,53,1741.633,1570
